date,timestamp,period,period_type,count,houston_humidity_zscore,dallas_zscore,la_precipitation_zscore,nyc_precipitation_iqr,phoenix_humidity_iqr,philadelphia_pressure_zscore,nyc_pressure_iqr,seattle_wind_speed_zscore,la_precipitation_iqr,philadelphia_precipitation_iqr,nyc_precipitation_zscore,nyc_wind_speed_zscore,seattle_precipitation_zscore,nyc_pressure_zscore,dallas_precipitation_zscore,san antonio_zscore,philadelphia_pressure_iqr,phoenix_wind_speed_zscore,la_pressure_zscore,philadelphia_wind_speed_iqr,philadelphia_precipitation_zscore,seattle_humidity_iqr,phoenix_precipitation_zscore,houston_zscore,la_wind_speed_zscore,houston_humidity_iqr,seattle_humidity_zscore,houston_wind_speed_iqr,philadelphia_wind_speed_zscore,seattle_precipitation_iqr,la_pressure_iqr,phoenix_precipitation_iqr,houston_iqr,dallas_iqr,houston_pressure_zscore,seattle_pressure_iqr,dallas_precipitation_iqr,phoenix_pressure_iqr,houston_precipitation_zscore,seattle_pressure_zscore,dallas_pressure_iqr,dallas_wind_speed_zscore,seattle_wind_speed_iqr,san antonio_iqr,dallas_wind_speed_iqr,la_wind_speed_iqr,phoenix_wind_speed_iqr,phoenix_pressure_zscore,houston_pressure_iqr,seattle_temperature_iqr,houston_precipitation_iqr,nyc_wind_speed_iqr
2020-02-21 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0866643966921905,,,,,,,,,,,,,,1034.2,,,
2019-01-17 09:00:00,,,,,,,4.193230566413899,,,,,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-21 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10762.32,,,,,,,,
2019-01-16 11:00:00,,,,,,,,,,,,,0.0212,,,,,,,,,,,,,,,,3.187769433872375,,,,,,,,,,,,,,,,,,,,,9.65,,,,,,
2019-10-22 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0302,,,,,,,,,,,,,,,,,,,,,,
2020-03-31 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,,
2019-04-04 00:00:00,,,,,,,,,,,,3.301259765773183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67,,,,,,,,,
2019-09-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18080.68,22087.87,,,,,,,,,,11175.9,,,,,,,,
2018-09-09 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0199,
2019-08-10 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18515.81,22586.24,,,,,,,,,,11631.83,,,,,,,,
2019-01-04 18:00:00,,,,,,,,,,,,3.4069394851775763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94,,,,,,,,,
2019-06-21 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18413.03,22149.36,,,,,,,,,,10953.25,,,,,,,,
2019-09-13 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18151.63,,,,,,,,,,,,,,,,,,,
2019-08-15 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19659.44,23684.37,,,,,,,,,,11986.87,,,,,,,,
2018-12-08 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.1,,,,,,,,,,,,,,,,,,,,,
2020-01-14 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0236,
2019-07-08 03:00:00,,,,,,,,,,,,,,0.0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,17.83,,,,,,,,,3.3119983759890648,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0161,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198,,,,,,,,,,,,,,,,,,,,,,
2018-11-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131,
2019-03-23 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-21 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23230.19,,,,,,,,,,,,,,,,,,
2019-12-28 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334,,,,,,,,,,,,,,,
2019-12-10 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0474,,,,,,,,,,,,,,,
2019-06-15 02:00:00,,,,,,,,,,,,,,0.2935,,,,,,,,,,,9.354173171466169,,,,,,,,,,,,,,,,,,6.531259369281812,,,,,,,,,,,,0.4334,
2019-03-26 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334,,,,,,,,,,,,,,,,,,,,,,
2019-08-20 00:00:00,,,,,,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-31 16:00:00,,,,,,,,0.0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0224,,,,,,,,,,,,,,,,,,,,,,
2018-11-13 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.9,,,,,,,,,,3.5523056949703835,,,,
2018-08-22 10:00:00,,,,,,,,0.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164,
2019-08-10 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18257.75,,,,,,,,,,,,,,,,,,,
2018-08-18 10:00:00,,,,,,,,0.5037,,,,,,,13.39530707824922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,,,,,,990.7,,,,4.178503840240869,,,,,,,,,,,,
2020-02-07 09:00:00,,,,,,,,0.0148,,,996.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-30 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19045.41,,,,,,,,,,,11737.27,,,,,,,,
2020-04-26 05:00:00,,,,,,,,,,,,3.1799237916422123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36,,,,,,,,,
2019-06-21 03:00:00,,,,,,,,,,,,,,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22920.47,,,,,,,,,,11431.43,,,,,,,,
2018-10-03 14:00:00,,,,,,,,,,,,,,0.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-21 22:00:00,,,,,,,,,,,,,,,,3.105714747692413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71
2018-06-08 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18668.44,,,,,,,,,,,11103.22,,,,,,,,
2019-10-21 05:00:00,,,,,,,,0.0177,,,,,,0.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-05 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18738.76,,,,,,,,,,,11045.53,,,,,,,,
2019-10-21 10:00:00,,,,,,,,,,,,,,,,,,,3.0286541732838743,,,,,,,,,,,,,,,,,,,,,,0.0755,,,,,,,,,,,,,,,
2018-07-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22809.88,,,,,,,,,,,,,,,,,,
