date,timestamp,period,period_type,count,year,month,day,season,is_weekend,houston_iqr_anomaly_mean,dallas_wind_speed_imputed_mean,houston_pressure_original_mean,nyc_temperature_mean,dallas_wind_speed_mean,la_precipitation_mean,philadelphia_wind_speed_iqr_anomaly_mean,dallas_precipitation_mean,houston_temperature_imputed_mean,philadelphia_humidity_imputed_mean,houston_zscore_anomaly_mean,la_precipitation_iqr_anomaly_mean,phoenix_humidity_iqr_anomaly_mean,phoenix_precipitation_original_mean,philadelphia_precipitation_iqr_anomaly_mean,phoenix_humidity_imputed_mean,dallas_precipitation_zscore_anomaly_mean,nyc_wind_speed_zscore_anomaly_mean,dallas_precipitation_imputed_mean,phoenix_humidity_mean,nyc_wind_speed_imputed_mean,phoenix_temperature_mean,nyc_temperature_imputed_mean,la_wind_speed_imputed_mean,la_precipitation_imputed_mean,houston_humidity_mean,houston_pressure_iqr_anomaly_mean,houston_humidity_iqr_anomaly_mean,nyc_precipitation_original_mean,dallas_zscore_anomaly_mean,seattle_pressure_zscore_anomaly_mean,la_temperature_original_mean,la_wind_speed_zscore_anomaly_mean,seattle_pressure_original_mean,houston_precipitation_mean,dallas_pressure_mean,houston_precipitation_iqr_anomaly_mean,houston_humidity_imputed_mean,houston_humidity_original_mean,la_pressure_original_mean,houston_original_mean,seattle_temperature_imputed_mean,san antonio_iqr_anomaly_mean,seattle_pressure_iqr_anomaly_mean,dallas_original_mean,dallas_pressure_imputed_mean,seattle_precipitation_zscore_anomaly_mean,seattle_precipitation_mean,houston_wind_speed_original_mean,houston_wind_speed_imputed_mean,houston_precipitation_imputed_mean,phoenix_wind_speed_imputed_mean,philadelphia_pressure_mean,philadelphia_humidity_original_mean,philadelphia_humidity_mean,la_pressure_mean,nyc_precipitation_mean,la_humidity_original_mean,phoenix_temperature_original_mean,phoenix_pressure_original_mean,phoenix_temperature_imputed_mean,dallas_wind_speed_original_mean,la_wind_speed_mean,san antonio_original_mean,philadelphia_pressure_imputed_mean,dallas_mean,houston_pressure_mean,nyc_pressure_imputed_mean,seattle_humidity_zscore_anomaly_mean,la_precipitation_zscore_anomaly_mean,seattle_temperature_original_mean,dallas_imputed_mean,philadelphia_temperature_mean,seattle_temperature_iqr_anomaly_mean,seattle_temperature_mean,nyc_humidity_mean,houston_precipitation_original_mean,nyc_wind_speed_iqr_anomaly_mean,dallas_humidity_imputed_mean,dallas_humidity_mean,philadelphia_pressure_iqr_anomaly_mean,la_pressure_zscore_anomaly_mean,philadelphia_wind_speed_zscore_anomaly_mean,seattle_wind_speed_mean,seattle_pressure_imputed_mean,houston_temperature_original_mean,dallas_wind_speed_zscore_anomaly_mean,dallas_temperature_mean,nyc_wind_speed_original_mean,san antonio_imputed_mean
,,2019-01-19,day,4,2019,1,19,Winter,1,,,1023.0,-1.062013882140831,,,,,50.55,,,,,,,,,,,0.26066287251878206,8.93,-0.5881944448543912,37.52,,,0.5569182569473511,,,0.0017500000000000003,,,,,,-0.2100367454743317,,,84.0,84.0,,10826.44,,,,15568.79,,,,2.495,2.495,0.0025546875000000005,,,,,,-0.23087068208584333,,62.44500000000001,1020.8,,,,5995.37,,15006.488749999999,1.1162649744620474,1018.55,,,,16767.254999999997,,,,0.9761939571051488,0.0025546875000000005,,,,,,,,,50.55,,,7.97,6684.23
,,2018-06-16,day,4,2018,6,16,Summer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16539.5175,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-03-30,day,3,2020,3,30,Spring,0,,,1017.1,,-0.41109935279480897,,,-0.14611237184215434,,,,,,,,,,,,-0.7741678426563617,,-0.24249226673104887,,,,0.2503994906271357,,,,,,,,1010.2625,-0.26883181946637735,0.4919588845484145,,,79.0,,12714.86,48.208749999999995,,,11274.95,,,0.6425844759058021,5.78,,,,,,,,,,68.83,1013.0,,6.51,,5931.41,,10293.784999999998,-0.09097733077853132,,,,48.208749999999995,10293.785,,,-0.41242100552102245,,0.0011,,,0.08835617316855796,,,,2.957479499476172,1010.2625,70.12,,-0.2759622605967352,,5438.885
,,2018-05-27,day,3,2018,5,27,Spring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11779.163333333332,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-04-03,day,4,2018,4,3,Spring,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11275.505000000001,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-08-01,day,4,2018,8,1,Summer,0,,,,,1.0676324308974166,0.0,,0.0,,,,,,,,,,,,-0.24413259829836126,,1.3720478979734267,,,,,,,,,,76.35,,,,-0.2982450684964763,,,,1013.2,,,,,,,,,,,,,,,,-0.5793822370411897,,53.0,98.65,1011.0,,11.4,0.3566005343672903,,,13826.667500000001,,,,,,,,,,,,,,-1.8446207978450664,,,,,,,,1.2704253360942646,,
,,2019-05-23,day,9,2019,5,23,Spring,0,,,1016.5,1.0189685026649988,0.9738886981889112,,,0.0,,,,,,,,,,,,0.23542309897792488,,-0.38136870946971346,,,,0.06648823083500645,,,0.0009,,,,,1016.6333333333332,-0.264790052833197,-1.0548233214118083,,,76.0,,,,,,,,,-0.1515322362446706,13.36,,,,0.7863379502923431,21.0,-2.380427749672344,,-0.12834660515111188,,66.265,1010.1,,11.09,,,,15303.908888888887,-0.21374773470130715,,,,62.34333333333334,,1.1226617858171382,,0.8630474131106661,-2.1436773436077114,0.0012,,,0.8562511342561622,,,,-0.8358331686109078,,86.03,,0.6832116621577313,4.83,
,,2020-02-21,day,5,2020,2,21,Winter,0,,,1026.05,-1.732993132743564,,,,,59.910000000000004,,,,,,,,,,,,,,,,,-1.374149970870006,1.0,,0.0008500000000000001,,,,,1023.225,-0.1273699873050646,,,52.5,52.5,,12250.27,43.94499999999999,,,15762.46,,,-0.3964881581886279,7.905,7.905,0.0046,,2.251429108095827,56.00000000000001,-0.5180317167203338,,-0.25821218255024614,,,,,,,7386.86,,15653.966,1.7403478610694583,,,,44.927499999999995,15276.52,-1.8817100372814732,,-0.7085125598270845,-0.8237317933061166,0.0046,,,,,,,-0.5586383080883246,1022.25,59.910000000000004,,,9.46,7254.035
,,2019-10-06,day,4,2019,10,6,Fall,1,,,1013.4,,-0.4488992450159801,0.0,,-0.140567359544921,,,,,,,,,,,,,,,,,,0.5569182569473511,,,,,,74.08,,1028.7,-0.14353705383778606,-0.7101598950837202,,,84.0,1015.2,,,,,,,,-0.5279969831071283,3.135,,,,,,,-0.023869680177803262,,47.0,,,,6.385,0.5278050947465698,,,13873.942500000001,-0.8480614883022962,,,,61.49,,,,0.7860448095273246,,0.0042,,,-0.6795387879190463,,,,-0.8152415504006588,,80.03999999999999,,1.0831344668774041,,
,,2019-04-18,day,2,2019,4,18,Spring,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11248.74,,,,,,,,,,,,,,,,,,,,,,,,
