date,timestamp,period,period_type,count,houston,dallas,san antonio,year,month,day,hour,day_of_week,season,is_weekend,time_of_day,houston_temperature,houston_humidity,houston_wind_speed,houston_pressure,houston_precipitation,dallas_temperature,dallas_humidity,dallas_wind_speed,dallas_pressure,dallas_precipitation,phoenix_temperature,phoenix_humidity,phoenix_wind_speed,phoenix_pressure,phoenix_precipitation,seattle_temperature,seattle_humidity,seattle_wind_speed,seattle_pressure,seattle_precipitation,la_temperature,la_humidity,la_wind_speed,la_pressure,la_precipitation,nyc_temperature,nyc_humidity,nyc_wind_speed,nyc_pressure,nyc_precipitation,philadelphia_temperature,philadelphia_humidity,philadelphia_wind_speed,philadelphia_pressure,philadelphia_precipitation,houston_wind_speed_original,la_precipitation_iqr_anomaly,houston_precipitation_original,philadelphia_temperature_imputed,la_pressure_original,houston_humidity_imputed,la_temperature_imputed,la_precipitation_imputed,phoenix_temperature_original,seattle_wind_speed_zscore_anomaly,nyc_precipitation_original,philadelphia_wind_speed_imputed,nyc_wind_speed_original,date_key,philadelphia_pressure_original,houston_imputed,la_humidity_imputed,nyc_precipitation_imputed,la_temperature_original,houston_iqr_anomaly,philadelphia_wind_speed_zscore_anomaly,nyc_pressure_imputed,philadelphia_wind_speed_original,houston_wind_speed_imputed,dallas_pressure_original,nyc_humidity_imputed,philadelphia_temperature_original,la_pressure_zscore_anomaly,phoenix_humidity_imputed,la_precipitation_original,seattle_temperature_imputed,seattle_pressure_zscore_anomaly,dallas_wind_speed_zscore_anomaly,seattle_pressure_imputed,phoenix_humidity_iqr_anomaly,phoenix_pressure_iqr_anomaly,seattle_precipitation_zscore_anomaly,la_wind_speed_iqr_anomaly,phoenix_wind_speed_imputed,dallas_precipitation_zscore_anomaly,houston_zscore_anomaly,phoenix_pressure_original,seattle_humidity_imputed,philadelphia_precipitation_zscore_anomaly,philadelphia_precipitation_iqr_anomaly,phoenix_temperature_imputed,dallas_precipitation_imputed,seattle_wind_speed_imputed,seattle_humidity_zscore_anomaly
2019-01-19 11:00:00,,,,,10884.85,16850.09,6623.27,2019,1,19,11,5,Winter,1,Morning,,,,,,,,,,,-0.883543760698218,-0.0674541835123611,1.8219912578601019,2.027211672607777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99,,,,,2019-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.2,,,,,,,
2018-06-16 04:00:00,,,,,11693.53,13474.35,6229.56,2018,6,16,4,5,Summer,1,Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30 07:00:00,,,,,10360.15,9016.51,4728.53,2020,3,30,7,0,Spring,0,Morning,,,,,,-0.15333480190264756,-0.308830875669858,-1.2245530333944175,0.6432745351314771,-0.24345406404397565,-0.24249226673104887,-0.7741678426563617,-0.4783749454624934,-0.016926875665042303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.83,,,,,2020-03-30,,,,,,,,,,,1020.3,,,,,,,,,,,,,,,,,1013.0,,,,,,,
2018-05-27 07:00:00,,,,,9471.91,10980.9,5511.72,2018,5,27,7,6,Spring,1,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03 22:00:00,,,,,12740.55,11336.92,6601.79,2018,4,3,22,1,Spring,0,Evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01 10:00:00,,,,,13412.62,14400.6,7374.69,2018,8,1,10,2,Summer,0,Morning,,,,,,,,,,,,,,,,,,,,,1.0029213972264974,-0.17034860239703914,0.3566005343672903,-0.5793822370411897,0,,,,,,,,,,,,,,,1013.2,,,,,,,,,2018-08-01,,,,,76.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 22:00:00,,,,,15141.81,17212.01,9206.67,2019,5,23,22,3,Spring,0,Evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21 11:00:00,,,,,11805.21,15276.52,7254.035,2020,2,21,11,4,Winter,0,Morning,-0.7920631400522445,-1.374149970870006,0.3537918407251793,1.7403478610694583,-0.1273699873050646,,,,,,,,,,,-0.7971708309450141,-0.3533773403091676,-0.021672263990291894,0.6730273379562429,-0.3506129867054301,,,,,,,,,,,,,,,,7.905,,0.0046,,,52.5,,,,,,,,2020-02-21,,11805.21,,,,,,,,7.905,,,,,,,43.94499999999999,,,1022.25,,,,,,,,,70.0,,,,,5.01,
2019-10-06 04:00:00,,,,,10493.96,11559.61,5689.12,2019,10,6,4,6,Fall,1,Night,,,,,,1.4166462013304453,-1.4209546124174228,-0.7195464733195673,-0.8194434205048199,0,,,,,,0.7860448095273246,-1.054163027194256,-0.8152415504006588,1.7951626279508226,-0.5279969831071283,1.597475766205307,-1.2205383328424277,1.9200535008497661,-0.10719656370731677,0,,,,,,,,,,,,,,,1014.9,,,,,,,,,2019-10-06,,,,,82.41,,,,,,1011.6,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18 09:00:00,,,,,10685.45,11022.56,5476.69,2019,4,18,9,3,Spring,0,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01 12:00:00,,,,,16875.71,19053.93,9393.59,2019,8,1,12,3,Summer,0,Afternoon,,,,,,0.7962269922605958,0.4855432220069739,-0.7376904215857298,-0.1469294179134137,-0.26229439156690887,,,,,,,,,,,,,,,,1.0148266554390561,1.6061679697490916,-1.2807287539152612,-0.11863394242197807,0.05013918379829641,,,,,,,,,,,,,,,,0.011,,4.12,2019-08-01,,,,,,,,,,,1015.6,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18 07:00:00,,,,,12583.14,13979.12,6890.1,2019,8,18,7,6,Summer,1,Morning,1.1670387791183374,-0.056119275693079715,0.523624275723083,-1.3186813700062432,-0.22033061986821298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,0.0023,,,,,,,,,,,2019-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17 09:00:00,,,,,9724.814999999999,11162.86,5371.33,2019,1,17,9,3,Winter,0,Morning,,,,,,,,,,,,,,,,,,,,,-0.7555393741436874,1.692487943273948,0.6303663172379305,1.5211496185985502,3.2597388038882578,,,,,,,,,,,,True,,,1020.7625,,58.426875,0.0247,,,,,,2019-01-17,,9724.814999999999,90.25,,58.426875,,,,,,,,,,,0.0247,,,,,,,,,,,,,,,,,,,
